customer_id,business_name,phone_number,address,contact_person,sector,business_description
CUST011,Nova Electricals,+91 99010 92815,"158, Church Street, Panaji, Goa",Vijay Rana,Manufacturing,"Founded 2001 by Deepa Gupta. Core offerings: switchgear, industrial cables, transformers. Est. annual revenue: INR 3-5 crore. Team size: 101-250 employees. Key contact: Anjali Iyer (Finance Manager). Mid-sized manufacturer supplying to state electricity boards."
CUST012,Bloom & Co Florists,+91 95711 77774,"22, Church Street, Hyderabad, Telangana",Jyoti Gupta,Retail - Floral,"Founded 2016 by Manoj Krishnan. Core offerings: bouquets, event decor, subscription flowers. Est. annual revenue: INR 50+ crore. Team size: 250+ employees. Key contact: Jyoti Kapoor (General Manager). Small team of 6; strong presence on Instagram for local orders."
CUST013,Ridgeline Motors,+91 92803 85280,"195, Market Street, Vadodara, Gujarat",Padma Reddy,Automotive - Dealership,"Founded 2004 by Sunita Chatterjee. Core offerings: car sales, servicing, spare parts. Est. annual revenue: INR 3-5 crore. Team size: 11-25 employees. Key contact: Deepak Kapoor (COO). Authorized dealership for a mid-range sedan brand."
CUST014,Clearwater Consulting,+91 95388 85393,"207, Industrial Estate, Ahmedabad, Gujarat",Jyoti Patel,Professional Services,"Founded 2012 by Vijay Naidu. Core offerings: management consulting, market research. Est. annual revenue: INR 3-5 crore. Team size: 250+ employees. Key contact: Sunita Mehta (General Manager). Boutique firm of 20 consultants serving mid-market clients."
CUST015,Artisan Bake House,+91 90047 43957,"207, Ring Road, Indore, Madhya Pradesh",Vikram Patel,Food & Beverage - Bakery,"Founded 2018 by Neha Bose. Core offerings: artisan bread, cakes, catering. Est. annual revenue: INR 1-3 crore. Team size: 26-50 employees. Key contact: Meena Patel (General Manager). Single-outlet bakery known for sourdough; growing catering arm."
CUST016,Skyline Realty,+91 93799 07511,"233, Green Park Extension, Nagpur, Maharashtra",Anusha Rao,Real Estate,Founded 2007 by Sanjay Kumar. Core offerings: residential and commercial property brokerage. Est. annual revenue: INR 50+ crore. Team size: 250+ employees. Key contact: Preeti Verma (General Manager). Team of 25 agents; handles ~150 transactions per year.
CUST017,Vantage HR Solutions,+91 95167 61222,"8, Sector 12, Hyderabad, Telangana",Harish Iyer,HR / Staffing,"Founded 2014 by Pooja Mehta. Core offerings: recruitment, payroll outsourcing, staffing. Est. annual revenue: INR 25-50 crore. Team size: 26-50 employees. Key contact: Rohit Rana (General Manager). Services 80+ corporate clients across IT and manufacturing."
CUST018,Emerald Organics,+91 92882 00182,"112, Station Road, Kochi, Kerala",Ravi Kapoor,Retail - Organic Foods,"Founded 2020 by Ajay Joshi. Core offerings: organic groceries, cold-pressed oils. Est. annual revenue: INR 1-3 crore. Team size: 101-250 employees. Key contact: Vijay Pillai (COO). D2C brand with online store and two physical outlets."
CUST019,Ironclad Security,+91 95486 20579,"209, Industrial Estate, Vadodara, Gujarat",Bhavna Iyer,Security Services,"Founded 1995 by Rekha Bhatt. Core offerings: guard services, CCTV monitoring, alarm response. Est. annual revenue: INR 10-25 crore. Team size: 5-10 employees. Key contact: Ritu Iyer (COO). Deploys 400+ security personnel across corporate and residential sites."
CUST020,Riverbend Publishing,+91 97290 22279,"186, Lake Side Avenue, Chennai, Tamil Nadu",Suresh Gupta,Media - Publishing,"Founded 1978 by Karthik Rana. Core offerings: regional fiction, academic textbooks. Est. annual revenue: INR 10-25 crore. Team size: 51-100 employees. Key contact: Sheetal Mehta (COO). Legacy publishing house with a catalog of 500+ titles."
CUST021,Lotus Wellness Spa,+91 91803 34018,"116, MG Road, Nashik, Maharashtra",Kishore Reddy,Health & Wellness,"Founded 2016 by Divya Menon. Core offerings: spa therapies, ayurvedic treatments. Est. annual revenue: INR 10-25 crore. Team size: 101-250 employees. Key contact: Lakshmi Gupta (COO). Two locations; popular with tourists and corporate wellness tie-ups."
CUST022,Falcon Freight,+91 98347 88783,"179, Market Street, Vadodara, Gujarat",Mahesh Rao,Logistics,"Founded 2010 by Amit Sharma. Core offerings: trucking, container transport. Est. annual revenue: INR 50 lakh - 1 crore. Team size: 51-100 employees. Key contact: Lakshmi Iyer (General Manager). Fleet of 45 trucks focused on inter-state industrial freight."
CUST023,Golden Harvest Mills,+91 97513 61341,"230, Harbor Road, Hyderabad, Telangana",Padma Krishnan,Food Processing,"Founded 1990 by Shruti Reddy. Core offerings: wheat flour, rava, besan. Est. annual revenue: INR 5-10 crore. Team size: 11-25 employees. Key contact: Rahul Kapoor (Sales Manager). Flour mill supplying regional retailers and bakeries."
CUST024,Northstar EdTech,+91 91672 32686,"87, Station Road, Surat, Gujarat",Shruti Gupta,Education Technology,"Founded 2018 by Rajesh Nair. Core offerings: online test prep, tutoring platform. Est. annual revenue: INR 3-5 crore. Team size: 101-250 employees. Key contact: Vikram Krishnan (Operations Head). Series A funded startup with 50,000+ registered students."
CUST025,Marina Bay Traders,+91 97706 58948,"246, Church Street, Bengaluru, Karnataka",Neha Nair,Import/Export,"Founded 2006 by Anjali Iyer. Core offerings: electronics import, consumer goods distribution. Est. annual revenue: INR 50 lakh - 1 crore. Team size: 11-25 employees. Key contact: Vikram Kapoor (Finance Manager). Distributes to retailers across three coastal states."
CUST026,Crimson Apparel,+91 94264 62889,"127, Church Street, Coimbatore, Tamil Nadu",Ajay Sharma,Retail - Fashion,"Founded 2015 by Nikhil Verma. Core offerings: casual wear, ethnic wear, e-commerce. Est. annual revenue: INR 50 lakh - 1 crore. Team size: 26-50 employees. Key contact: Deepak Verma (General Manager). Own-brand fashion label sold online and via 10 retail stores."
CUST027,Silverline Insurance Brokers,+91 90141 93141,"117, Ring Road, Panaji, Goa",Mahesh Naidu,Insurance,"Founded 2003 by Swathi Rao. Core offerings: life, health, and motor insurance brokering. Est. annual revenue: INR 50 lakh - 1 crore. Team size: 101-250 employees. Key contact: Ajay Rana (Sales Manager). Independent brokerage serving 5,000+ retail policyholders."
CUST028,Oakwood Furniture Co,+91 93124 02344,"136, Market Street, Kochi, Kerala",Lakshmi Mehta,Manufacturing - Furniture,"Founded 1999 by Gopal Patel. Core offerings: custom furniture, office fit-outs. Est. annual revenue: INR 3-5 crore. Team size: 5-10 employees. Key contact: Sheetal Verma (Finance Manager). Manufacturing unit plus showroom; strong B2B contracts."
CUST029,Bright Path Academy,+91 94000 88387,"63, Church Street, Chandigarh, Punjab",Vinod Naidu,Education,"Founded 2011 by Lakshmi Kapoor. Core offerings: K-12 schooling, after-school programs. Est. annual revenue: INR 50+ crore. Team size: 51-100 employees. Key contact: Vinod Kumar (COO). CBSE-affiliated school with 1,800 students across two campuses."
CUST030,Titan Fabricators,+91 98433 53265,"14, MG Road, Hyderabad, Telangana",Priya Kapoor,Industrial Manufacturing,"Founded 1988 by Harish Pillai. Core offerings: steel fabrication, structural components. Est. annual revenue: INR 50 lakh - 1 crore. Team size: 250+ employees. Key contact: Gopal Verma (Operations Head). Supplies structural steel to construction and infra projects."
CUST031,Willow Creek Dairy,+91 96849 34072,"41, Hill View Lane, Jaipur, Rajasthan",Sheba Kapoor,FMCG - Dairy,"Founded 2000 by Preeti Gupta. Core offerings: packaged milk, flavored yogurt. Est. annual revenue: INR 3-5 crore. Team size: 11-25 employees. Key contact: Rajesh Gupta (COO). Regional dairy brand with home delivery network."
CUST032,Pinegrove Realty Advisors,+91 90435 20561,"122, Lake Side Avenue, Jaipur, Rajasthan",Padma Rao,Real Estate,"Founded 2013 by Naveen Krishnan. Core offerings: property advisory, rental management. Est. annual revenue: INR 50 lakh - 1 crore. Team size: 26-50 employees. Key contact: Sanjay Mehta (Operations Head). Focused on premium residential rentals and NRI clients."
CUST033,Everest Outdoor Gear,+91 91269 06044,"162, Church Street, Ahmedabad, Gujarat",Ashok Mehta,Retail - Outdoor,"Founded 2017 by Bhavna Rao. Core offerings: trekking gear, camping equipment. Est. annual revenue: INR 5-10 crore. Team size: 26-50 employees. Key contact: Kishore Iyer (COO). Retail chain of 4 stores plus an online store for adventure gear."
CUST034,Harbor Lights Cafe,+91 97249 20868,"36, Green Park Extension, Vadodara, Gujarat",Bhavna Bhatt,Food & Beverage - Cafe,"Founded 2019 by Sandeep Menon. Core offerings: specialty coffee, brunch menu. Est. annual revenue: INR 50 lakh - 1 crore. Team size: 5-10 employees. Key contact: Ravi Bhatt (Sales Manager). Single-location cafe popular with the local co-working crowd."
CUST035,Quantum Tech Solutions,+91 90251 67800,"161, Old Town Road, Nashik, Maharashtra",Sanjay Kumar,IT Services,"Founded 2009 by Ritu Sharma. Core offerings: custom software development, IT support. Est. annual revenue: INR 50+ crore. Team size: 5-10 employees. Key contact: Pooja Menon (General Manager). Mid-size IT services firm with 120 engineers, mostly SME clients."
CUST036,Meadowbrook Farms,+91 98818 17414,"61, Station Road, Kochi, Kerala",Jyoti Bose,Agriculture,"Founded 2002 by Mahesh Reddy. Core offerings: vegetable farming, farm-to-table supply. Est. annual revenue: INR 5-10 crore. Team size: 250+ employees. Key contact: Naveen Chatterjee (Operations Head). Supplies fresh produce directly to restaurants and grocers."
CUST037,Stellar Print Works,+91 94093 19254,"167, Sector 12, Kolkata, West Bengal",Geeta Iyer,Printing & Packaging,"Founded 1993 by Geeta Nair. Core offerings: commercial printing, packaging boxes. Est. annual revenue: INR 5-10 crore. Team size: 26-50 employees. Key contact: Sheba Kumar (Operations Head). Printing press serving FMCG and pharma packaging clients."
CUST038,Amber Leaf Tea Co,+91 91374 84777,"197, Lake Side Avenue, Chennai, Tamil Nadu",Sunita Pillai,FMCG - Beverages,"Founded 1975 by Ashok Iyer. Core offerings: tea blends, herbal infusions. Est. annual revenue: INR 3-5 crore. Team size: 51-100 employees. Key contact: Vikram Kumar (Operations Head). Long-established tea brand distributed across North India."
CUST039,Cascade Water Systems,+91 91874 63319,"24, Harbor Road, Hyderabad, Telangana",Sandeep Kapoor,Utilities / Infra,"Founded 2005 by Nandini Verma. Core offerings: water treatment plants, pipeline maintenance. Est. annual revenue: INR 50+ crore. Team size: 250+ employees. Key contact: Rajesh Iyer (COO). Contracts with municipal bodies for water infrastructure upkeep."
CUST040,Brightwave Solar,+91 98415 37760,"41, Hill View Lane, Panaji, Goa",Sheetal Bose,Renewable Energy,"Founded 2016 by Rohit Rao. Core offerings: rooftop solar installation, maintenance. Est. annual revenue: INR 5-10 crore. Team size: 26-50 employees. Key contact: Nikhil Pillai (Sales Manager). Installed 800+ residential and commercial solar systems."
CUST041,Ivory Tower Bookstore,+91 96515 05561,"241, Harbor Road, Kochi, Kerala",Sheba Pillai,Retail - Books,"Founded 1982 by Kiran Patel. Core offerings: books, stationery, gifting. Est. annual revenue: INR 5-10 crore. Team size: 51-100 employees. Key contact: Pooja Krishnan (Operations Head). Independent bookstore with a loyal local customer base."
CUST042,Redwood Legal Associates,+91 99156 40410,"214, Old Town Road, Kolkata, West Bengal",Rahul Patel,Legal Services,"Founded 2001 by Padma Menon. Core offerings: corporate law, contract drafting. Est. annual revenue: INR 3-5 crore. Team size: 11-25 employees. Key contact: Ajay Naidu (COO). Mid-size law firm with a dedicated corporate advisory practice."
CUST043,Sapphire Events Co,+91 95606 88310,"239, Hill View Lane, Surat, Gujarat",Rohit Iyer,Event Management,"Founded 2014 by Vinod Sharma. Core offerings: weddings, corporate events, conferences. Est. annual revenue: INR 50 lakh - 1 crore. Team size: 101-250 employees. Key contact: Padma Pillai (General Manager). Handles ~60 large events annually across South India."
CUST044,Thunderbird Auto Parts,+91 92276 54444,"104, Market Street, Ahmedabad, Gujarat",Preeti Joshi,Automotive - Retail,"Founded 1996 by Sheetal Reddy. Core offerings: spare parts retail, wholesale distribution. Est. annual revenue: INR 1-3 crore. Team size: 250+ employees. Key contact: Vinod Chatterjee (Operations Head). Distributes to 200+ garages and repair shops regionally."
CUST045,Willow & Vine Landscaping,+91 92138 78375,"195, Industrial Estate, Chandigarh, Punjab",Kavita Joshi,Landscaping Services,"Founded 2018 by Deepak Nair. Core offerings: garden design, landscaping, maintenance contracts. Est. annual revenue: INR 1-3 crore. Team size: 26-50 employees. Key contact: Sunita Patel (Operations Head). Small team specializing in residential and resort landscaping."
CUST046,Beacon Financial Advisors,+91 98153 54930,"192, Industrial Estate, Surat, Gujarat",Swathi Mehta,Financial Services,"Founded 2007 by Anusha Iyer. Core offerings: wealth management, tax advisory. Est. annual revenue: INR 3-5 crore. Team size: 5-10 employees. Key contact: Vijay Chatterjee (Finance Manager). Advises 400+ individual and small-business clients."
CUST047,Cobalt Manufacturing,+91 97495 28831,"70, Industrial Estate, Ahmedabad, Gujarat",Nikhil Bose,Industrial Manufacturing,"Founded 1994 by Ramesh Verma. Core offerings: precision components, CNC machining. Est. annual revenue: INR 1-3 crore. Team size: 5-10 employees. Key contact: Gopal Pillai (Operations Head). Tier-2 supplier to the automotive and industrial equipment sector."
CUST048,Driftwood Furniture Rentals,+91 96797 01687,"249, Station Road, Chandigarh, Punjab",Meena Patel,Retail - Rentals,Founded 2020 by Jyoti Rao. Core offerings: furniture rental for homes and offices. Est. annual revenue: INR 25-50 crore. Team size: 5-10 employees. Key contact: Rahul Iyer (COO). New venture catering to short-term relocations and startups.
CUST049,Prairie Wind Energy,+91 97180 02390,"166, Link Road, Kolkata, West Bengal",Kiran Kapoor,Renewable Energy,"Founded 2012 by Kishore Patel. Core offerings: wind farm operations, energy consulting. Est. annual revenue: INR 50 lakh - 1 crore. Team size: 5-10 employees. Key contact: Sandeep Naidu (Operations Head). Operates two wind farm sites with combined 25 MW capacity."
CUST050,Lighthouse Media Group,+91 94893 64390,"3, Market Street, Nashik, Maharashtra",Harish Kapoor,Marketing / Media,"Founded 2015 by Vidya Menon. Core offerings: digital marketing, ad campaigns, PR. Est. annual revenue: INR 10-25 crore. Team size: 11-25 employees. Key contact: Divya Patel (General Manager). Full-service agency serving mid-market and D2C brand clients."
